STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:AYM00088963,BASE ESPERANZA AY,19610101,-9999,39,27
GHCND:AYM00088963,BASE ESPERANZA AY,19610102,-9999,41,28
GHCND:AYM00088963,BASE ESPERANZA AY,19610103,-9999,47,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610104,-9999,54,34
GHCND:AYM00088963,BASE ESPERANZA AY,19610105,-9999,43,33
GHCND:AYM00088963,BASE ESPERANZA AY,19610106,-9999,39,33
GHCND:AYM00088963,BASE ESPERANZA AY,19610107,-9999,36,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610108,-9999,34,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610109,-9999,34,30
GHCND:AYM00088963,BASE ESPERANZA AY,19610110,-9999,37,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610111,-9999,36,29
GHCND:AYM00088963,BASE ESPERANZA AY,19610112,-9999,36,26
GHCND:AYM00088963,BASE ESPERANZA AY,19610113,-9999,28,24
GHCND:AYM00088963,BASE ESPERANZA AY,19610114,-9999,42,24
GHCND:AYM00088963,BASE ESPERANZA AY,19610115,-9999,36,28
GHCND:AYM00088963,BASE ESPERANZA AY,19610116,-9999,36,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610117,-9999,36,29
GHCND:AYM00088963,BASE ESPERANZA AY,19610118,-9999,36,26
GHCND:AYM00088963,BASE ESPERANZA AY,19610119,-9999,33,25
GHCND:AYM00088963,BASE ESPERANZA AY,19610120,-9999,39,27
GHCND:AYM00088963,BASE ESPERANZA AY,19610121,-9999,45,25
GHCND:AYM00088963,BASE ESPERANZA AY,19610122,-9999,42,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610123,-9999,38,29
GHCND:AYM00088963,BASE ESPERANZA AY,19610124,-9999,39,28
GHCND:AYM00088963,BASE ESPERANZA AY,19610125,-9999,45,29
GHCND:AYM00088963,BASE ESPERANZA AY,19610126,-9999,53,32
GHCND:AYM00088963,BASE ESPERANZA AY,19610127,-9999,46,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610128,-9999,42,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610129,-9999,41,29
GHCND:AYM00088963,BASE ESPERANZA AY,19610130,-9999,41,27
GHCND:AYM00088963,BASE ESPERANZA AY,19610131,-9999,29,22
GHCND:AYM00088963,BASE ESPERANZA AY,19610201,-9999,39,19
GHCND:AYM00088963,BASE ESPERANZA AY,19610202,-9999,31,23
GHCND:AYM00088963,BASE ESPERANZA AY,19610203,-9999,30,21
GHCND:AYM00088963,BASE ESPERANZA AY,19610204,-9999,31,24
GHCND:AYM00088963,BASE ESPERANZA AY,19610205,-9999,34,26
GHCND:AYM00088963,BASE ESPERANZA AY,19610206,-9999,38,27
GHCND:AYM00088963,BASE ESPERANZA AY,19610207,-9999,28,20
GHCND:AYM00088963,BASE ESPERANZA AY,19610208,-9999,27,20
GHCND:AYM00088963,BASE ESPERANZA AY,19610209,-9999,28,21
GHCND:AYM00088963,BASE ESPERANZA AY,19610210,-9999,32,22
GHCND:AYM00088963,BASE ESPERANZA AY,19610211,-9999,31,23
GHCND:AYM00088963,BASE ESPERANZA AY,19610212,-9999,40,25
GHCND:AYM00088963,BASE ESPERANZA AY,19610213,-9999,43,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610214,-9999,42,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610215,-9999,41,31
GHCND:AYM00088963,BASE ESPERANZA AY,19610216,-9999,49,29
GHCND:AYM00088963,BASE ESPERANZA AY,19610217,-9999,44,32
GHCND:AYM00088963,BASE ESPERANZA AY,19610218,-9999,36,24
GHCND:AYM00088963,BASE ESPERANZA AY,19610219,-9999,30,23
GHCND:AYM00088963,BASE ESPERANZA AY,19610220,-9999,28,24
GHCND:AYM00088963,BASE ESPERANZA AY,19610221,-9999,34,24
GHCND:AYM00088963,BASE ESPERANZA AY,19610222,-9999,32,26
GHCND:AYM00088963,BASE ESPERANZA AY,19610223,-9999,28,23
GHCND:AYM00088963,BASE ESPERANZA AY,19610224,-9999,31,23
GHCND:AYM00088963,BASE ESPERANZA AY,19610225,-9999,41,25
GHCND:AYM00088963,BASE ESPERANZA AY,19610226,-9999,44,29
GHCND:AYM00088963,BASE ESPERANZA AY,19610227,-9999,36,21
GHCND:AYM00088963,BASE ESPERANZA AY,19610228,-9999,24,20
GHCND:AYM00088963,BASE ESPERANZA AY,19610301,-9999,23,17
GHCND:AYM00088963,BASE ESPERANZA AY,19610302,-9999,21,16
