STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:AYM00088968,BASE ORCADAS AY,19570101,-9999,37,31
GHCND:AYM00088968,BASE ORCADAS AY,19570102,-9999,35,32
GHCND:AYM00088968,BASE ORCADAS AY,19570103,-9999,36,30
GHCND:AYM00088968,BASE ORCADAS AY,19570104,-9999,37,32
GHCND:AYM00088968,BASE ORCADAS AY,19570105,-9999,33,31
GHCND:AYM00088968,BASE ORCADAS AY,19570106,-9999,32,30
GHCND:AYM00088968,BASE ORCADAS AY,19570107,-9999,33,31
GHCND:AYM00088968,BASE ORCADAS AY,19570108,-9999,32,29
GHCND:AYM00088968,BASE ORCADAS AY,19570109,-9999,34,30
GHCND:AYM00088968,BASE ORCADAS AY,19570110,-9999,34,30
GHCND:AYM00088968,BASE ORCADAS AY,19570111,-9999,35,29
GHCND:AYM00088968,BASE ORCADAS AY,19570112,-9999,33,31
GHCND:AYM00088968,BASE ORCADAS AY,19570113,-9999,33,28
GHCND:AYM00088968,BASE ORCADAS AY,19570114,-9999,36,30
GHCND:AYM00088968,BASE ORCADAS AY,19570115,-9999,36,29
GHCND:AYM00088968,BASE ORCADAS AY,19570116,-9999,35,31
GHCND:AYM00088968,BASE ORCADAS AY,19570117,-9999,38,33
GHCND:AYM00088968,BASE ORCADAS AY,19570118,-9999,38,32
GHCND:AYM00088968,BASE ORCADAS AY,19570119,-9999,35,33
GHCND:AYM00088968,BASE ORCADAS AY,19570120,-9999,35,30
GHCND:AYM00088968,BASE ORCADAS AY,19570121,-9999,36,31
GHCND:AYM00088968,BASE ORCADAS AY,19570122,-9999,35,32
GHCND:AYM00088968,BASE ORCADAS AY,19570123,-9999,39,31
GHCND:AYM00088968,BASE ORCADAS AY,19570124,-9999,36,33
GHCND:AYM00088968,BASE ORCADAS AY,19570125,-9999,36,31
GHCND:AYM00088968,BASE ORCADAS AY,19570126,-9999,36,30
GHCND:AYM00088968,BASE ORCADAS AY,19570127,-9999,37,31
GHCND:AYM00088968,BASE ORCADAS AY,19570128,-9999,39,34
GHCND:AYM00088968,BASE ORCADAS AY,19570129,-9999,36,33
GHCND:AYM00088968,BASE ORCADAS AY,19570130,-9999,36,33
GHCND:AYM00088968,BASE ORCADAS AY,19570131,-9999,36,33
GHCND:AYM00088968,BASE ORCADAS AY,19570201,-9999,33,30
GHCND:AYM00088968,BASE ORCADAS AY,19570202,-9999,35,29
GHCND:AYM00088968,BASE ORCADAS AY,19570203,-9999,38,34
GHCND:AYM00088968,BASE ORCADAS AY,19570204,-9999,40,33
GHCND:AYM00088968,BASE ORCADAS AY,19570205,-9999,38,32
GHCND:AYM00088968,BASE ORCADAS AY,19570206,-9999,37,33
GHCND:AYM00088968,BASE ORCADAS AY,19570207,-9999,38,32
GHCND:AYM00088968,BASE ORCADAS AY,19570208,-9999,34,30
GHCND:AYM00088968,BASE ORCADAS AY,19570209,-9999,33,30
GHCND:AYM00088968,BASE ORCADAS AY,19570210,-9999,36,29
GHCND:AYM00088968,BASE ORCADAS AY,19570211,-9999,45,35
GHCND:AYM00088968,BASE ORCADAS AY,19570212,-9999,41,32
GHCND:AYM00088968,BASE ORCADAS AY,19570213,-9999,36,34
GHCND:AYM00088968,BASE ORCADAS AY,19570214,-9999,40,35
GHCND:AYM00088968,BASE ORCADAS AY,19570215,-9999,37,33
GHCND:AYM00088968,BASE ORCADAS AY,19570216,-9999,40,33
GHCND:AYM00088968,BASE ORCADAS AY,19570217,-9999,39,35
GHCND:AYM00088968,BASE ORCADAS AY,19570218,-9999,35,31
GHCND:AYM00088968,BASE ORCADAS AY,19570219,-9999,36,31
GHCND:AYM00088968,BASE ORCADAS AY,19570220,-9999,43,34
GHCND:AYM00088968,BASE ORCADAS AY,19570221,-9999,45,35
GHCND:AYM00088968,BASE ORCADAS AY,19570222,-9999,45,36
GHCND:AYM00088968,BASE ORCADAS AY,19570223,-9999,40,35
GHCND:AYM00088968,BASE ORCADAS AY,19570224,-9999,38,29
GHCND:AYM00088968,BASE ORCADAS AY,19570225,-9999,32,29
GHCND:AYM00088968,BASE ORCADAS AY,19570226,-9999,32,30
GHCND:AYM00088968,BASE ORCADAS AY,19570227,-9999,35,31
GHCND:AYM00088968,BASE ORCADAS AY,19570228,-9999,40,31
GHCND:AYM00088968,BASE ORCADAS AY,19570301,-9999,45,30
GHCND:AYM00088968,BASE ORCADAS AY,19570302,-9999,40,35
GHCND:AYM00088968,BASE ORCADAS AY,19570303,-9999,38,28
GHCND:AYM00088968,BASE ORCADAS AY,19570304,-9999,35,29
GHCND:AYM00088968,BASE ORCADAS AY,19570305,-9999,37,33
GHCND:AYM00088968,BASE ORCADAS AY,19570306,-9999,43,33
GHCND:AYM00088968,BASE ORCADAS AY,19570307,-9999,39,35
GHCND:AYM00088968,BASE ORCADAS AY,19570308,-9999,40,35
GHCND:AYM00088968,BASE ORCADAS AY,19570309,-9999,37,35
GHCND:AYM00088968,BASE ORCADAS AY,19570310,-9999,40,35
GHCND:AYM00088968,BASE ORCADAS AY,19570311,-9999,38,35
GHCND:AYM00088968,BASE ORCADAS AY,19570312,-9999,36,34
GHCND:AYM00088968,BASE ORCADAS AY,19570313,-9999,36,32
GHCND:AYM00088968,BASE ORCADAS AY,19570314,-9999,35,31
GHCND:AYM00088968,BASE ORCADAS AY,19570315,-9999,36,31
GHCND:AYM00088968,BASE ORCADAS AY,19570316,-9999,36,32
GHCND:AYM00088968,BASE ORCADAS AY,19570317,-9999,40,31
GHCND:AYM00088968,BASE ORCADAS AY,19570318,-9999,36,31
