STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:AYM00089734,DOME FUJI AY,19970101,-32,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970102,-34,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970103,-26,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970104,-32,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970105,-32,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970106,-30,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970107,-31,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970108,-33,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970109,-35,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970110,-32,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970111,-32,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970112,-35,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970113,-25,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970114,-31,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970115,-35,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970117,-40,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970118,-41,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970119,-41,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970120,-36,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970121,-29,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970122,-33,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970123,-33,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970124,-30,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970125,-28,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970126,-34,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970127,-39,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970128,-40,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970129,-41,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970130,-42,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970131,-45,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970201,-50,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970202,-46,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970203,-39,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970205,-34,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970206,-37,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970207,-46,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970208,-46,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970209,-44,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970210,-51,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970211,-52,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970212,-48,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970213,-54,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970214,-56,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970215,-53,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970219,-56,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970223,-71,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970224,-70,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970225,-69,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970302,-68,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970303,-67,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970304,-66,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970305,-67,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970306,-70,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970307,-69,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970308,-68,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970309,-70,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970310,-65,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970311,-62,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970312,-70,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970313,-69,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970314,-67,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970315,-60,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970316,-69,-9999,-9999
GHCND:AYM00089734,DOME FUJI AY,19970317,-76,-9999,-9999
