STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050315,-21,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050316,-34,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050317,-49,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050318,-53,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050319,-55,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050320,-50,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050321,-48,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050322,-42,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050323,-31,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050324,-37,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050325,-45,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050326,-55,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050327,-56,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050328,-59,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050329,-58,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050330,-57,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050331,-55,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050401,-50,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050402,-43,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050403,-42,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050404,-53,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050405,-60,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050406,-60,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050407,-56,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050408,-62,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050409,-61,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050410,-47,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050411,-48,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050412,-65,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050413,-66,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050414,-58,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050415,-54,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050416,-65,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050417,-68,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050418,-52,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050419,-43,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050420,-51,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050421,-62,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050422,-64,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050423,-68,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050424,-69,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050425,-63,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050426,-63,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050427,-63,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050428,-51,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050429,-61,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050430,-69,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050501,-70,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050502,-71,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050503,-67,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050504,-70,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050505,-73,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050506,-70,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050507,-60,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050508,-64,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050509,-62,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050510,-46,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050511,-41,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050512,-34,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050513,-35,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050514,-55,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050515,-68,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050516,-57,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050517,-65,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050518,-66,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050519,-62,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050520,-49,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050521,-59,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050522,-55,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050523,-56,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050524,-53,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050525,-64,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050526,-44,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050527,-52,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050528,-59,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050529,-55,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050530,-59,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050531,-60,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050601,-73,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050602,-69,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050603,-73,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050604,-76,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050605,-68,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050606,-63,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050607,-69,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050608,-72,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050609,-73,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050610,-61,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050611,-47,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050612,-43,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050613,-37,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050614,-50,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050615,-51,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050616,-46,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050617,-57,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050618,-58,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050619,-31,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050620,-23,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050621,-34,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050622,-45,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050623,-49,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050624,-51,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050625,-45,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050626,-30,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050627,-28,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050628,-35,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050629,-45,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050630,-49,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050701,-45,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050702,-52,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050703,-54,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050704,-50,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050705,-61,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050706,-61,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050707,-68,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050708,-58,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050709,-56,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050710,-58,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050711,-60,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050712,-62,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050713,-44,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050714,-22,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050715,-32,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050716,-57,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050717,-61,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050718,-62,-9999,-9999
GHCND:AYM00089578,DOME PLATEAU EAGLE AY,20050719,-70,-9999,-9999
